10ClassKind,Depth,icd10Code,icd10Chapter,icd10Title,11ClassKind,Depth,ICD-11 Foundation URI,Linearization (release) URI,icd11Code,icd11Chapter,icd11Title,07/02/2022
category,1,A17,I,Tuberculosis of nervous system,category,1,http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified,1B11.Z,01,"Tuberculosis of the nervous system, unspecified",
category,2,A17.8,I,Other tuberculosis of nervous system,category,2,http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified,1B11.Z,01,"Tuberculosis of the nervous system, unspecified",
category,2,A17.8,I,Other tuberculosis of nervous system,category,2,http://id.who.int/icd/entity/539334538,http://id.who.int/icd/release/11/2022-02/mms/539334538,1B11.1,01,Tuberculous meningoencephalitis,
category,2,A17.9,I,"Tuberculosis of nervous system, unspecified",category,2,http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified,1B11.Z,01,"Tuberculosis of the nervous system, unspecified",
category,2,A50.4,I,Late congenital neurosyphilis [juvenile neurosyphilis],category,2,http://id.who.int/icd/entity/282073961,http://id.who.int/icd/release/11/2022-02/mms/282073961,1A60.3,01,Late congenital neurosyphilis,
category,2,A50.5,I,"Other late congenital syphilis, symptomatic",category,2,http://id.who.int/icd/entity/1516230030,http://id.who.int/icd/release/11/2022-02/mms/282073961,1A60.3/8C03.1,01,Late congenital neurosyphilis / Polyneuropathy due to infectious diseases,
category,2,A52.1,I,Symptomatic neurosyphilis,category,2,http://id.who.int/icd/entity/1873247529,http://id.who.int/icd/release/11/2022-02/mms/1873247529,1A62.01,01,Symptomatic late neurosyphilis,
category,2,A52.2,I,Asymptomatic neurosyphilis,category,2,http://id.who.int/icd/entity/453651926,http://id.who.int/icd/release/11/2022-02/mms/453651926,1A62.00,01,Asymptomatic neurosyphilis,
category,2,A52.3,I,"Neurosyphilis, unspecified",category,2,http://id.who.int/icd/entity/2118246468,http://id.who.int/icd/release/11/2022-02/mms/2118246468/unspecified,1A62.0Z,01,"Neurosyphilis, unspecified",
block,1,A80-A89,I,Viral infections of the central nervous system,category,1,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,1,A81,I,Atypical virus infections of central nervous system,category,1,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A81.8,I,Other atypical virus infections of central nervous system,category,2,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A81.8,I,Other atypical virus infections of central nervous system,category,2,http://id.who.int/icd/entity/553889510,http://id.who.int/icd/release/11/2022-02/mms/553889510,8E01.1,08,Kuru,
category,2,A81.9,I,"Atypical virus infection of central nervous system, unspecified",category,2,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A81.9,I,"Atypical virus infection of central nervous system, unspecified",category,2,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A81.9,I,"Atypical virus infection of central nervous system, unspecified",category,2,http://id.who.int/icd/entity/172957869,http://id.who.int/icd/release/11/2022-02/mms/172957869,8E03,08,Variably protease sensitive prionopathy,
category,2,A81.9,I,"Atypical virus infection of central nervous system, unspecified",category,2,http://id.who.int/icd/entity/1965146397,http://id.who.int/icd/release/11/2022-02/mms/1965146397/unspecified,8E0Z,08,"Human prion diseases, unspecified",
category,1,A83,I,Mosquito-borne viral encephalitis,category,1,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A83.8,I,Other mosquito-borne viral encephalitis,category,2,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A83.9,I,"Mosquito-borne viral encephalitis, unspecified",category,2,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A84.8,I,Other tick-borne viral encephalitis,category,2,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A84.9,I,"Tick-borne viral encephalitis, unspecified",category,2,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,1,A88,I,"Other viral infections of central nervous system, not elsewhere classified",category,1,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A88.1,I,Epidemic vertigo,category,2,http://id.who.int/icd/entity/679083753,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,2,A88.8,I,Other specified viral infections of central nervous system,category,2,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
category,1,A89,I,Unspecified viral infection of central nervous system,category,1,http://id.who.int/icd/entity/1104303944,http://id.who.int/icd/release/11/2022-02/mms/1104303944/unspecified,1C8Z,01,"Viral infections of the central nervous system, unspecified",
